source,target,edge_track_name,spotify_track_name,spotify_artists,track_name_conincides,artists_coincides,id,preview
Bad Bunny,Jhay Cortez,Tarot,Tarot,"Bad Bunny, Jhay Cortez",TRUE,TRUE,41oY4WCTj5kccfesTVFnvN,https://p.scdn.co/mp3-preview/db8db5f15768f239548f3499bdd12bfcc6ce063f?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Tony Dize,La Corriente,La Corriente,"Bad Bunny, Tony Dize",TRUE,TRUE,1797zYiX4cKosMH836X9Gt,https://p.scdn.co/mp3-preview/5b652748ee9a5a10433e28fa0f63f365b8bf58c2?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Rauw Alejandro,Party,Party,"Bad Bunny, Rauw Alejandro",TRUE,TRUE,4tYFy8ALRjIZvnvSLw5lxN,https://p.scdn.co/mp3-preview/4982ab22ba534ab700ddc1f2f9ac143baaad7e24?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Bomba Estéreo,Ojitos Lindos,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",TRUE,TRUE,3k3NWokhRRkEPhCzPmV8TW,https://p.scdn.co/mp3-preview/3cd0d6fb21cdca047df503d9df5bd617c08c04d8?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Buscabulla,Andrea,Andrea,"Bad Bunny, Buscabulla",TRUE,TRUE,44XjoNvtwevktFKjvVe1vH,https://p.scdn.co/mp3-preview/09536841505c58600d3b685098600412558836c1?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,ROSALÍA,LA NOCHE DE ANOCHE,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",TRUE,TRUE,2XIc1pqjXV3Cr2BQUGNBck,https://p.scdn.co/mp3-preview/d843fb10f6c38bbe76680b47e8679bbe31650c19?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Zion & Lennox,MÁS DE UNA CITA,MÁS DE UNA CITA,"Bad Bunny, Zion & Lennox",TRUE,TRUE,4EJHKSnHENfjOxXWryyNtL,https://p.scdn.co/mp3-preview/6000f2613360c584cfeb9bf0a70e8009cb9f7976?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Don Omar,PA' ROMPERLA,PA' ROMPERLA,"Bad Bunny, Don Omar",TRUE,TRUE,5XqCz18k96K8tx6DAYM97i,https://p.scdn.co/mp3-preview/acbeb16d2a372881639cfe7f6eef580ffba8cb11?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Daddy Yankee,La Santa,La Santa,"Bad Bunny, Daddy Yankee",TRUE,TRUE,69vlMrzHwATKzupwNcUPyK,https://p.scdn.co/mp3-preview/121e870213633f13fe89595c590e47be052f5e2a?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Yaviah,Bichiyal,Bichiyal,"Bad Bunny, Yaviah",TRUE,TRUE,4j4w4CXm6BSr0s25wAWrrX,https://p.scdn.co/mp3-preview/34928a1005d07a06a768ea1f352c1a8dfed038df?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Ñengo Flow,Diles,Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",TRUE,TRUE,6C1RD7YQVvt3YQj0CmuTeu,https://p.scdn.co/mp3-preview/0a4fa12dea105b71d7e0a9facddc6b8cfe138af5?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Jowell & Randy,Safaera,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",TRUE,TRUE,2DEZmgHKAvm41k4J3R2E9Y,https://p.scdn.co/mp3-preview/161fd43b212f9ed0077665c7cb73d2a5469c1527?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Anuel AA,Está Cabrón Ser Yo,Está Cabrón Ser Yo,"Bad Bunny, Anuel AA",TRUE,TRUE,4saHEjXw7O1NXJOzBkUKKG,https://p.scdn.co/mp3-preview/0859f08bb1b6a80c229ae4930b105ce262da94f7?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Myke Towers,Puesto Pa' Guerrial,Puesto Pa' Guerrial,"Bad Bunny, Myke Towers",TRUE,TRUE,5gCg2qMPzKkW4jS4dBKdDs,https://p.scdn.co/mp3-preview/49980ffcfbdc25e197df786461a5f441d0ebbf06?cid=774b29d4f13844c495f206cafdad9c86
